,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,9703,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19130900.0,19130900.0,,1,,,,2022-08-24T19:48:00.000Z,21769.67983916989,32003773207.179478,-1.0835,0.37168737,1.12358212,-6.67962109,0.37908387,2.74437915,-26.17158049,416473568035.17523,39.8092,457163276622.57,,2022-08-24T19:48:00.000Z,,,,,,2022-08-24 19:50:47.482149
1,1027,Ethereum,ETH,ethereum,6042,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,122095544.499,122095544.499,,2,,,,2022-08-24T19:48:00.000Z,1684.5052760914762,16970981483.241158,-9.3671,0.80097854,2.0498473,-8.57595305,14.38782807,39.74432377,-8.29120869,205670588895.82712,19.6593,205670588895.83,,2022-08-24T19:48:00.000Z,,,,,,2022-08-24 19:50:47.482149
2,825,Tether,USDT,tether,38805,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,67549555015.62651,69157777033.00569,,3,,,,2022-08-24T19:48:00.000Z,1.0000116220116233,48755449601.182106,-7.9705,0.00056162,0.00307703,-0.00527198,-0.00127221,0.05049173,0.09694162,67550340077.34005,6.4559,69158580785.49,,2022-08-24T19:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-08-24 19:50:47.482149
3,3408,USD Coin,USDC,usd-coin,5945,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,52274835083.95328,52274835083.95328,,4,,,,2022-08-24T19:48:00.000Z,1.0000506946224796,7363545398.412755,35.2023,0.01132587,0.0143068,0.01039138,0.01998243,0.00923507,-0.02332253,52277485136.98305,4.997,52277485136.98,,2022-08-24T19:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-08-24 19:50:47.482149
4,1839,BNB,BNB,bnb,1088,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-08-24T19:48:00.000Z,299.2291490641318,943104798.9464993,-14.9574,0.23985847,0.19407468,-2.94434727,19.24327908,27.05811284,-3.43891234,48276811348.298355,4.6142,59845829812.83,,2022-08-24T19:48:00.000Z,,,,,,2022-08-24 19:50:47.482149
5,4687,Binance USD,BUSD,binance-usd,4879,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,19080569131.069256,19080569131.069256,,6,,,,2022-08-24T19:48:00.000Z,0.999875579764676,4792135294.8962145,-1.2892,-0.01153206,-0.01398339,0.00561319,0.068886,-0.17856581,-0.10993028,19078195122.167854,1.8239,19078195122.17,,2022-08-24T19:48:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-08-24 19:50:47.482149
6,52,XRP,XRP,xrp,807,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,49537223666.0,99989330486.0,,7,,,,2022-08-24T19:48:00.000Z,0.35088815976139215,933594925.5260408,-1.3521,1.09733956,1.52695616,-6.99122992,2.98613146,-2.45331973,-10.69869196,17382025251.851223,1.6615,35088815976.14,,2022-08-24T19:48:00.000Z,,,,,,2022-08-24 19:50:47.482149
7,2010,Cardano,ADA,cardano,559,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33739028515.755,34277702081.605,,8,,,,2022-08-24T19:48:00.000Z,0.4661979323571166,504860758.6522844,-12.8609,0.41022974,1.08117587,-13.46971331,-3.37070835,-4.52958491,-3.66759898,15729065333.782778,1.5034,20978906956.07,,2022-08-24T19:48:00.000Z,,,,,,2022-08-24 19:50:47.482149
8,5426,Solana,SOL,solana,368,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,349250834.66365105,511616946.142289,,9,,,,2022-08-24T19:48:00.000Z,36.134878100205874,909655966.9092942,-0.1399,0.68950968,2.15284034,-11.55465801,-3.5470034,-10.30918763,-18.53466222,12620136336.966187,1.2063,18487215982.85,,2022-08-24T19:48:00.000Z,,,,,,2022-08-24 19:50:47.482149
9,74,Dogecoin,DOGE,dogecoin,554,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,,2022-08-24T19:48:00.000Z,0.06932640648781092,334204943.0669018,-5.4354,0.15297272,1.33674003,-15.71353355,9.07642228,2.82287308,-12.04044316,9197587334.903011,0.8791,9197587334.9,,2022-08-24T19:48:00.000Z,,,,,,2022-08-24 19:50:47.482149
